Timestamp,Grade,,Title of book,,Author of book,What grade level would you recommend this book to?,,How many stars would you give this book?,,,Submit your review below (200-400 word count)
5/25/2019 9:48:56,7,,Amulet: The Stonekeeper,,Kazu Kibuishi,"7,8,9,10,11,12",,5,,,"Amulet: The Stonekeeper is the first book of the Amulet series. This book is about a girl named Emily. It starts out as her, her brother Navin, and their mom move into  their great grandfather's house. They start to clean the house and everything is fine  at first. Though, they notice the house seems really odd. While cleaning, Emily and her little brother Navin go to a room upstairs. There Emily finds an amulet. She puts it on and goes back downstairs with Navin because their mom is calling them. Their mom hears a strange noise coming from the basement. She brings a flashlight with her and goes to see what's wrong she looks around though when she looks behind her, to her horror she screams. Emily and Navin hear this mom's scream and go to see what happened. They get there to only see her flashlight. They see a path  leading outside. They follow the path and start running to find her. The amulet starts glowing and it tells Emily to go to a certain place. They go there and they start going on the hunt for Emily and Navin's mom. The characters are pretty typical, though I  like the fact the book gives a lot of insight of the character and the characters get good development. The plot was really good, before it was really calm then the tension increased because their mom was kidnapped. The images did a great job of explaining the plot. You could see everything happening. I would recommend the book because it's quite thrilling and it's quite inspiring too. The grade levels I would recommend this to is 7th-12th."
5/25/2019 11:53:26,7,,Posted,,John David Anderson,"6,7,8,9,10,11,12",,5,,,"In the book Posted, there is a group of four friends who go to the same school. They all met each other on a field trip. They're been together ever since. At their school a  lot of kids use their phones in class or anywhere. They all have been through times together and they all have different personalities. Though,  one day during math class a girl named Ruby was on her phone and her teacher caught her sending a horrible message about a teacher. This caused the school to ban phones the next day to prevent any events like this from happening in the near future. The phones were to  be left at home or dropped off at the office and to be picked up after school. Most students thought this was preposterous. Though soon, the four boys found a way to communicate by posting post-it notes on each others lockers. Soon a lot of kids started doing this. At first the notes were friendly and nice and soon they had insults. Posted is a book about friendship and hardships. The characters have strong personalities that make them stand out from other characters. The story was really confusing at first but as it progressed it started to become good and I could understand it better. I would recommend it to 6th-12th graders because they can learn how words affect people."
5/26/2019 8:53:50,7,,Doctor Dolittle's Circus,,Hugh Lofting,"4,5,6,7,8",,4,,,Doctor Dolittle’s Circus is about Doctor Dolittle and his experience with a circus. The doctor needs money for a voyage to Africa so he decides to join the circus. The doctor loves animals and has the ability to speak to them. During his time at the circus he helps many animals that weren’t under good care and gets into a problem there that has to do with fox hunting. Who knows what else he might do there?
5/26/2019 13:07:42,7,,The Novice:Summoner:Book one,,Taran Matharu,"6,7,8,9,10,11,12",,5,,,"The BattleMage is book about a boy named Fletcher. Fletcher is a blacksmith's apprentice in a small town. One day a soldier comes to his town with objects from the battle field and he gives Fletcher a special book. That's when Fletcher discovers he has the rare ability to summon demons. When people Fletcher blame Fletcher for a crime he is forced to run away. He travels a long distance far away from his past village and finally finds a school for this special ability he has. He meets many friends there and also some people who think they are better than everyone else. He learns that his demon is actually quite rare and he also learns how to cast different spells  like a shield spell. With rivals and friends Fletcher has the fate of the world in his hands. Can he win a war or not? The characters in this book were unique, some of them had interesting aspects about them, while some were only a bit unique. The plot was really good, and the book was hard to stop reading. I would recommend this book to 6th-12th graders because the book is encouraging and it helps kids develop creativity and imagination."
5/26/2019 14:34:56,7,,Doctor Dolittle in the Moon,,Hugh Lofting,"5,6,7,8",,4,,,"Doctor Dolittle in the Moon is a book about Doctor Dolittle and his trip to the moon.  He meets someone on the moon along with moon animals and plants! The doctor like he does to his other animals, learns to speak to them! There is a problem though. Will they ever let Doctor Dolittle leave? Who knows what might happen to him on the moon?! The best characters in this book are the main ones. Doctor Dolittle and Polynesia are those characters. Out of the two I think Doctor Dolittle would be the best character. The writing style of this book is a little hard. There are some words that might make the book hard to understand. This book includes images which really help the progression of the story. It keeps things moving forward by giving a visual of what is going on during the progression of the story. I enjoyed reading this book and would recommend this book to 5-8 graders. There are some words that are specifically for the level of 5-8 graders. I recommend 5-8 graders to read this book because they would be able to understand this book well compared to younger readers. Even though this is my recommendation this book could be read by anyone willing to do so."
5/26/2019 14:50:57,7,,Keeper of the lost cities: Exile,,Shannon Messenger,"6,7,8,9,10,11,12",,5,,,"Exile is a book part of the Keeper of the lost cities series. In Exile Sophie Foster finds herself being a very powerful telepath. She is sent on a mission to Exile, a place for unstable creatures. She is sent there to find the personal who made the special person she is right now, she wanted to know why the Black Swan was sending her notes. Though before this, Sophie and her friends were out in the forest looking for something. Sophie spotted something so she ran after it. Once it finally stopped she'd realized she had found an alicorn. Though when Sophie finally found the leader of  the Black Swan he seemed odd and when Sophie read his mind it was blank. Alden felt guilty for this and fainted so Sophie took him back to Everglen. He was in a coma, but soon Sophie figured out how to heal him and he was all better. Can she heal a broken mind though? The characters in this book are all different in unique ways. The plot always focuses on one main point and when we are so close to finding an answer to a main question in the book it ends on a cliff hanger. This makes the book worth reading and hard to put down. I would definitely recommend the book to anyone who likes fantasy or anyone who has a struggle with fitting in because they can relate to the protagonist Sophie Foster. The grade level I would recommend this to is 6th-12th."
5/26/2019 17:31:34,7,,Keeper of the lost cities: Everblaze,,Shannon Messenger,"6,7,8,9,10,11,12",,5,,,"Everblaze is a book part of the Keeper of the lost cities series. In Everblaze Sophie, Keefe, and Fitz face new Villains, the Neverseen. In the last book Sophie was kidnapped and she's determined to find out who kidnapped her. Sophie finds herself face to face with her kidnapper, a pyrokinetic. All her allies were with the building with her as they interrogated Sophie's kidnapper. Though Sophie was caught off guard when the pyrokinetic suddenly formed a ring of fire around them. Everyone got out safe except Councillor Kenric. Kenric was the only councillor that always supported Sophie. Sophie was sad that he died. She used this sadness to prevent any more of the people she loved from getting hurt. Later she finds out the Black Swan was using her and her friends to draw out the Neverseen. She demands a meeting with them, but when she gets there she sees someone who she didn't expect to see. Overall, Everblaze is a bit of a sad book. The plot was quite calm, but then the tension started increasing and the plot twist happened. The characters are quite unique, because they all have different personalities. I would recommend this book to 6th-12th graders or anyone who has lost any loved one from a casualty because it helps people move on and it also helps enlighten kids about casualties.o has lost any loved one from a casualty because it helps people move on and it also helps enlighten kids about casualties."
5/26/2019 17:34:07,7,,Doctor Dolittle's Return,,Hugh Lofting,"5,6,7,8",,4,,,"Doctor Dolittle’s Return is the continuation of the book Doctor Dolittle in the Moon. It is about the return of the doctor from the moon. The doctor has returned from the moon and is eager to write a book about all of his experiences. But there is a  problem. The sadness of his experiences on the moon are being compared with his funny experiences of trying to be put in jail so he could write his book. The main characters in this book would be Doctor Dolittle and his assistant Tommy Stubbins. Out of the two I think Doctor Dolittle would be the best. He’s been going through so much on the moon while Tommy was waiting for him. The writing style in this book is pretty easy. Even though this may be true, there are still just a few tricky words in this book. Otherwise, it’s easy to read and understand. This book has images that really help the progression of the story. They show what is going on in the story. I really like this book and would recommend it to 5-8 graders. This because there are some words that may be a little hard to understand for younger readers."
5/26/2019 19:04:01,7,,Doctor Dolittle's Zoo,,Hugh Lofting,"1,2,3,4,5",,5,,,"DOCTOR DOLITTLE’S ZOO is the story of Doctor Dolittle and what he did after returning from his previous voyages. Now that he has returned, he plans to set his house in order and expand his zoo to benefit some of the animals he has there. The doctor can talk to animals. This helped him help them. The main characters in this story are Doctor Dolittle, Polynesia, Matthew Mugg and the group of rodents. The doctor loves his animals. That is why he is trying to help him. The rodents are mentioned in the book a lot and are found in the majority of the pictures in this book. They are very important characters in this book. The writing in this book is very easy. There aren’t any hard words in this book which makes it easy to read and understand. This book contains pictures which show what is going on in the book. It really helps having pictures in this book to make it easier to understand. I really liked reading this book and would recommend it to 1-5 graders and older. This book’s writing is easy, making it easy to understand. This is why the recommendation age is so low. It can be enjoyed by anyone!"
5/26/2019 20:35:51,7,,Doctor Dolittle and the Green Canary,,Hugh Lofting,"6,7,8",,3,,,"Doctor Dolittle and the Green Canary is a story relating to the story of Doctor Dolittle’ s Circus. It’s about the green canary and her adventures. The doctor can speak to  her and thus listens to her stories. She tells the doctor and the other animals about the story of her master and interested by the story, are determined to find him. Who knows if they will find him? The main characters in this book are Doctor Dolittle, Pippinella, and Dab- Dab. Out of the three Pippinella seems to be the most important character in the book. She is the Green Canary. The story is about her and revolves around her. She is very important to this story. The writing style in this book can be a little tricky. There are only a few words that could be confusing and make the book hard to understand. This book to me was okay, and I would recommend it to 6-8 graders. This book isn’t really meant for younger graders to read and it also might be harder to understand because there aren’t any pictures in the book. It is still a great book and can be enjoyed by middle school students and high school students."
6/1/2019 20:08:57,7,,Doctor Dolittle's Post Office,,Hugh Lofting,"6,7,8",,4,,,DOCTOR DOLITTLE’S POST OFFICE is the story about Doctor Dolittle and his love for animals. In the story the doctor helps capturing a slave trader’s ship and he organizes a postal service. King Koko begs him to take charge of the post office to try to get it back into shape. Later in the book he discovers an island populated with a ton of prehistoric creatures! Doctor Dolittle also gets thrown in another jail. Who knows what else will happen in this story? The writing style in this book isn’t that  hard. There are only a few words that may be hard to understand. This book contains images. These images are very helpful to the progression of the story. They show what the story is talking about and what is going. I thoroughly enjoyed reading this book and all the other Doctor Dolittle books in the series. I would recommend this book to 6-8 graders. The hard words in this book made me bring the grade recommendation higher. The story starts with a slave ship which is something younger readers won’t understand which is why the age recommendation starts at 6th grade. But the lowest is 6th grade because this book is fiction. Fictional books spark imagination which makes them great to read.
